schoolID,rms,win,openWin,opSpFan,pOpSpFan,nOpSpFan,opExFan,pOpExFan,nOpExFan,opVent,pOpVent,nOpVent
Q014,132,106,106,43,1,5,105,1,4,19,1,3
Q798,52,34,34,44,0,15,34,0,26,0,0,0
K167,82,80,80,0,0,63,2,0,2,0,0,0
Q332,101,48,43,54,0,3,60,9,20,0,0,0
X136,154,129,129,16,0,15,10,0,110,4,0,0
Q028,61,32,32,29,2,5,6,0,51,0,0,0
K111,119,123,123,3,0,0,122,0,0,0,0,0
K270,70,67,66,4,0,2,18,2,38,0,0,0
R014,97,69,66,38,0,8,65,1,4,0,0,0
Q019,186,148,143,94,1,10,65,7,63,13,0,13
K825,36,16,17,14,0,4,8,0,26,17,0,2
Q011,137,126,113,57,0,0,129,0,1,0,0,0
R050,64,57,55,6,0,0,47,0,3,0,0,1
M046,89,71,71,4,1,1,45,0,27,8,0,0
K370,56,48,48,52,0,0,53,0,0,27,0,0
Q194,104,95,90,2,0,0,65,1,19,95,0,0
M009,64,54,54,4,0,0,52,0,11,0,0,0
K286,72,67,67,59,0,1,18,0,27,0,0,0
M970,84,39,35,67,0,2,72,0,6,0,0,0
X135,132,107,107,4,0,8,30,1,60,0,0,0
K345,112,88,83,3,1,0,53,1,25,0,0,0
M093,83,69,67,17,0,38,25,0,45,0,0,0
X159,23,24,24,3,0,0,0,0,0,0,0,0
K303,149,122,122,15,2,13,89,1,40,0,0,0
K242,90,91,91,3,0,6,21,0,31,15,0,7
Q610,147,141,141,16,0,0,109,0,1,0,0,0
M125,140,123,120,1,0,0,44,0,35,0,0,0
Q280,80,73,70,1,0,0,4,6,20,0,1,3
K195,58,42,42,4,0,1,25,7,15,0,0,0
K259,135,124,113,41,0,0,84,0,6,41,0,5
X194,138,87,86,108,2,41,148,0,5,0,0,0
X123,111,104,102,5,0,0,1,0,0,75,9,14
X070,117,112,110,0,0,0,8,1,80,1,0,14
M470,182,134,134,51,0,15,122,0,17,0,0,0
X155,171,139,138,1,0,8,1,0,153,0,0,2
M486,47,32,31,22,2,15,28,1,10,22,0,3
Q276,98,59,57,42,0,27,54,5,36,0,0,0
K806,56,54,52,0,0,0,4,0,0,1,0,0
M140,69,57,56,5,0,5,16,0,32,0,0,0
M058,61,34,34,1,0,0,30,0,2,32,0,0
X004,99,94,92,0,0,23,2,1,11,0,0,0
K253,77,78,76,16,0,0,21,0,38,48,0,0
Q227,160,103,102,71,2,20,99,1,67,0,0,0
X104,78,78,75,5,0,2,9,0,37,22,0,27
Q205,85,69,69,2,0,2,45,7,12,0,0,0
Q735,198,89,86,154,10,8,37,4,58,1,0,0
R057,107,68,67,23,0,0,104,0,5,19,0,0
M006,57,59,55,2,0,0,44,0,0,57,0,0
M044,111,92,91,8,0,0,80,0,5,0,0,0
X160,136,81,81,10,1,1,99,16,0,10,2,0
K139,95,92,90,0,0,0,23,0,85,0,0,0
M003,81,74,67,1,0,1,5,0,0,0,0,0
X021,76,67,63,42,3,6,40,7,13,0,0,0
K611,70,30,27,37,0,10,36,3,25,0,0,0
Q033,102,96,92,11,4,14,19,2,55,42,2,0
Q067,109,96,96,11,0,1,80,1,20,0,0,0
M883,56,16,8,50,1,3,0,0,50,0,0,0
K088,128,111,111,3,0,2,19,1,94,0,0,0
Q585,125,90,88,103,0,0,125,0,0,0,0,0
K216,84,78,70,1,0,0,12,0,49,44,0,1
Q149,102,87,87,30,0,0,5,0,87,34,0,1
M088,119,126,126,5,0,0,26,3,86,83,10,17
Q013,156,106,103,44,1,18,87,2,38,21,0,6
X109,66,61,60,2,0,1,2,0,2,0,0,0
K126,112,98,98,2,0,3,85,9,7,21,0,0
Q490,168,166,159,5,2,5,5,1,30,55,1,25
Q017,87,75,75,3,0,0,58,1,11,0,0,4
X103,90,89,89,5,0,0,34,0,21,47,0,4
Q210,163,124,122,22,0,3,114,0,19,0,1,2
Q216,118,94,94,9,0,0,81,0,6,0,0,0
X002,87,65,62,13,0,1,56,5,5,0,0,0
K108,75,75,75,3,0,0,5,0,0,0,0,0
Q037,121,82,82,2,0,15,21,1,69,0,0,20
K324,165,75,75,67,0,6,122,0,32,2,0,1
Q877,39,19,19,38,0,0,40,0,0,0,0,0
M187,77,77,77,7,0,1,31,0,18,24,0,8
R450,194,153,133,50,1,17,66,2,64,0,0,1
M134,72,59,59,1,0,4,42,0,15,0,0,0
K308,151,71,70,58,1,4,87,4,23,9,1,4
K288,86,66,66,5,0,1,69,2,7,0,0,0
K500,171,158,158,79,0,3,155,3,7,23,0,1
X781,25,16,16,1,0,0,6,2,0,0,0,0
X099,79,64,52,5,5,48,22,6,44,0,0,0
M223,36,35,34,14,4,0,16,0,3,1,0,0
K073,68,70,69,1,0,71,2,0,70,0,0,0
K590,139,82,82,111,0,0,128,0,11,0,0,0
K480,155,145,145,29,0,5,108,0,26,54,0,7
Q114,79,66,62,2,0,0,51,0,4,0,0,0
X175,61,39,39,35,0,4,32,0,18,4,0,0
M176,80,45,44,60,0,1,64,0,3,1,0,0
K333,80,61,61,3,0,1,33,0,3,0,0,0
K204,107,87,75,12,3,15,61,3,19,0,0,0
Q166,123,99,98,28,0,1,9,0,24,0,0,0
Q465,148,150,144,21,0,10,87,3,46,0,0,3
K535,107,64,62,94,0,0,88,0,0,0,0,0
R066,54,28,28,30,0,2,35,0,16,0,0,0
K093,75,67,61,6,0,0,56,4,2,8,0,0
Q072,143,111,98,13,0,2,77,6,25,0,0,0
R029,71,66,66,7,3,12,40,0,7,0,0,0
X035,54,50,49,0,0,0,0,7,47,0,0,0
Q440,187,170,156,92,0,10,105,3,12,1,0,0
K824,72,28,28,59,0,0,62,0,10,0,0,0
X096,85,102,95,52,0,13,90,1,6,0,0,51
K110,66,61,59,0,1,1,5,0,0,0,0,0
X090,93,93,92,3,0,3,19,0,52,0,0,0
X072,77,74,73,21,0,4,37,3,16,5,0,0
X839,61,28,28,51,8,3,59,0,10,0,0,0
K224,116,70,70,69,0,4,63,0,35,22,0,2
K490,159,155,144,78,0,27,33,0,21,1,0,0
K206,105,119,119,1,0,0,68,0,17,47,1,19
Q237,140,103,89,37,0,3,79,0,60,0,0,0
K241,70,68,68,6,0,1,23,0,7,24,0,7
K084,114,87,87,1,0,0,65,5,25,0,0,0
Q094,31,31,31,16,0,0,29,0,0,7,0,0
X465,86,43,43,49,0,21,78,0,2,0,0,0
Q892,54,49,44,1,0,2,7,0,30,0,0,0
Q049,122,83,83,25,0,27,11,0,90,0,0,0
K142,130,115,112,19,0,19,52,1,38,7,0,11
Q189,122,113,113,17,0,34,37,1,50,0,0,0
Q792,22,19,19,0,0,0,3,0,14,5,0,0
Q181,76,60,59,53,0,1,49,2,23,0,0,0
Q018,58,45,44,2,0,0,35,1,8,1,0,0
M108,87,79,78,57,0,0,61,2,7,0,0,0
M167,111,109,108,3,0,0,78,0,1,0,0,0
X314,43,51,41,0,0,0,2,2,53,0,0,0
Q316,78,39,39,54,1,1,25,0,4,0,0,0
K235,68,71,65,5,0,11,36,0,8,7,0,13
Q186,74,69,67,3,0,0,51,0,8,0,0,0
K319,20,8,8,6,0,0,9,0,0,0,0,6
R024,140,106,104,5,0,3,61,25,22,0,0,0
X081,62,59,55,41,6,0,19,19,0,0,7,0
K112,48,40,39,2,1,1,18,0,18,0,0,0
Q222,39,15,15,18,0,0,33,4,2,0,0,0
K062,118,107,107,0,0,5,39,0,53,0,0,1
R600,112,106,97,0,0,0,32,1,0,46,0,0
K226,108,105,103,7,0,0,48,16,15,39,0,12
Q400,199,153,150,43,0,67,40,0,44,0,0,0
X049,91,86,85,1,0,0,63,2,11,0,0,0
K735,41,42,42,1,0,3,3,0,12,0,0,0
M855,63,43,43,33,1,28,26,4,33,0,0,0
X146,68,67,67,3,0,1,25,18,23,39,2,13
K131,89,87,85,3,0,0,20,0,12,20,0,3
K229,96,87,87,48,0,2,49,0,19,25,0,0
R044,116,95,94,21,0,0,66,0,22,26,0,0
K399,53,35,35,39,0,0,32,0,19,0,0,0
K276,81,69,66,3,0,0,39,0,29,5,0,0
Q007,124,96,96,0,2,98,0,1,122,0,0,0
Q450,126,111,107,7,0,12,22,0,63,0,0,0
Q153,147,106,98,35,0,15,119,0,17,43,0,0
K264,89,44,43,53,3,2,52,20,17,0,0,0
Q225,98,71,70,2,0,0,25,5,45,0,1,0
Q120,102,90,90,31,0,4,82,0,3,21,0,73
X037,81,43,43,55,0,0,81,0,0,45,0,0
K284,88,84,82,3,0,0,67,0,1,0,0,0
X970,160,57,55,85,6,30,99,0,39,0,0,0
X101,115,110,99,3,0,0,46,1,45,43,0,51
Q172,132,113,113,5,1,1,28,26,49,0,0,0
Q003,96,48,42,44,1,13,27,0,57,0,0,0
K091,75,72,72,1,0,0,33,0,0,14,0,0
K306,96,74,73,2,0,2,49,0,36,0,0,0
X022,117,103,97,0,0,0,0,0,159,0,0,0
X112,83,63,54,3,0,0,46,21,0,1,0,0
K194,69,77,77,2,0,0,8,1,35,7,0,15
Q177,70,70,67,1,0,0,58,0,1,47,0,0
M149,62,45,45,4,0,3,17,0,35,1,3,0
K396,58,53,53,1,0,0,14,0,0,3,0,2
Q090,84,77,76,1,0,1,6,0,2,0,0,0
Q063,116,109,100,15,0,9,79,1,23,1,0,0
K137,65,58,55,2,0,0,23,0,1,0,0,0
Q253,95,50,50,73,0,0,66,0,0,1,0,0
Q566,178,89,88,123,6,19,123,3,41,0,0,0
M645,80,79,75,0,0,0,0,0,0,54,0,1
X189,110,62,62,93,0,0,57,0,52,0,0,0
Q570,110,53,53,97,4,4,102,2,6,0,0,0
R005,31,30,29,4,4,0,2,3,9,7,0,0
Q029,87,80,77,23,0,2,36,0,3,25,0,0
Q178,64,49,45,4,0,0,48,0,0,0,0,0
K059,91,82,82,2,1,0,37,17,19,0,0,0
X116,164,91,88,61,2,17,70,3,82,0,1,1
K104,67,74,72,6,0,0,23,3,3,0,0,23
X182,93,61,61,16,0,0,74,0,0,48,0,10
M615,92,82,77,61,0,8,66,1,11,0,0,0
M025,155,118,118,111,0,40,109,0,43,130,0,1
Q115,79,75,74,3,0,0,33,1,22,0,0,0
M020,80,72,72,61,0,18,61,0,18,68,0,0
X145,137,122,120,21,0,2,119,2,4,0,0,0
M281,96,45,45,62,0,2,65,0,27,0,0,0
M197,85,62,62,13,0,0,34,2,28,0,0,0
K722,110,69,69,76,0,12,71,3,24,0,0,0
X435,260,232,231,31,2,15,41,0,52,49,0,24
Q137,130,90,90,97,0,10,82,0,44,0,0,0
Q193,62,54,54,4,0,0,45,0,5,0,0,0
Q192,131,115,114,4,0,2,87,0,1,0,0,0
K058,82,64,64,1,2,0,30,2,33,0,0,0
K520,37,34,34,13,0,1,24,1,4,0,0,0
K174,76,81,81,0,0,1,7,0,1,0,0,0
K213,79,76,76,4,0,1,45,1,16,23,0,0
Q620,199,152,150,22,0,3,130,0,19,0,0,0
X077,107,102,102,0,0,2,29,0,32,67,0,0
X177,78,67,67,74,0,4,71,0,6,0,0,0
K106,52,46,46,2,0,0,15,18,12,0,0,0
Q329,48,43,42,4,0,0,33,0,0,0,0,0
Q475,154,152,151,14,0,0,13,0,18,34,0,18
X879,49,27,23,43,0,2,33,1,8,0,0,0
X163,67,35,2,50,1,1,19,4,42,0,0,0
Q173,85,74,71,40,4,5,42,3,14,0,0,0
M054,98,82,83,6,0,0,52,3,10,2,0,0
X110,87,76,75,4,0,0,73,0,5,4,0,0
K258,121,107,107,3,2,0,28,24,43,0,0,0
M192,96,85,81,43,0,0,63,0,12,1,0,2
X059,67,67,67,7,0,1,1,1,41,0,0,0
K145,81,80,80,0,0,0,3,0,24,27,0,6
K329,144,85,84,62,1,1,157,1,5,13,0,0
K040,89,73,73,3,0,0,48,0,32,0,0,0
Q690,125,68,66,91,3,22,81,5,54,0,0,0
Q140,80,79,79,3,1,1,52,0,6,37,0,10
M501,139,0,0,31,0,1,50,0,40,70,0,4
M175,82,74,74,0,0,0,64,1,8,0,0,1
M343,96,46,40,71,0,4,91,0,8,0,0,0
K384,133,108,108,50,0,0,149,0,0,58,0,0
M185,69,48,49,0,0,2,24,18,20,8,0,0
Q204,122,110,108,9,0,1,96,0,2,0,0,0
X044,77,74,72,0,0,0,2,0,0,0,0,0
K721,73,71,70,1,0,32,12,1,24,0,0,0
X150,95,77,76,4,0,0,21,5,43,0,0,0
M084,58,46,46,1,0,1,24,0,28,0,0,0
K377,115,62,62,34,0,3,80,10,30,15,0,0
Q040,104,92,92,59,4,2,54,1,12,0,0,0
R022,106,93,91,47,0,1,49,0,25,0,13,2
X147,171,109,107,43,0,13,88,0,47,0,0,0
K332,100,91,91,0,0,0,73,0,10,0,0,0
K067,117,112,108,39,0,42,69,0,10,0,0,0
K234,113,109,108,15,12,10,51,5,32,35,0,7
K580,156,135,133,10,0,3,62,2,53,0,0,0
K025,96,85,81,51,2,7,12,0,12,0,0,0
X079,137,120,119,86,1,4,0,0,0,53,1,76
M267,55,38,37,31,0,6,34,0,20,2,0,0
X042,65,61,60,1,0,0,7,0,60,0,0,0
K046,81,74,74,3,0,0,52,0,11,0,0,0
K201,103,107,100,2,0,0,35,1,41,61,0,3
K128,61,54,51,4,0,2,3,0,38,27,2,0
M096,68,67,67,3,0,0,21,0,50,0,0,0
X360,50,51,51,63,0,0,63,0,0,0,0,0
X131,125,88,86,9,0,4,69,0,33,0,0,0
R032,95,83,83,3,0,0,36,0,41,0,0,0
X368,98,81,81,94,0,8,62,0,40,7,0,0
K310,57,31,30,4,0,30,16,0,38,0,0,0
K615,133,104,104,46,0,21,22,0,34,0,0,0
K269,75,73,73,3,0,0,39,0,25,0,0,0
X007,69,63,63,1,0,0,59,0,0,65,0,0
Q127,108,105,105,4,0,0,72,0,11,45,0,10
K151,52,48,48,13,0,0,2,0,0,0,0,0
Q035,77,69,67,25,0,15,24,0,21,0,0,0
K682,40,36,36,4,0,5,8,1,6,0,0,0
M440,188,187,184,38,0,2,46,0,15,47,0,42
Q175,79,65,65,1,0,1,20,2,42,0,0,0
K176,104,98,91,1,1,26,13,4,59,21,0,4
K390,180,105,103,31,0,21,61,0,84,0,0,0
Q891,62,14,14,62,0,0,62,0,0,0,0,0
M013,138,113,112,2,0,1,4,0,90,0,0,0
K369,46,44,42,0,0,0,5,0,9,0,0,0
K061,118,98,98,2,0,1,87,0,3,0,0,0
K485,115,106,101,16,12,76,13,6,75,0,0,0
X045,98,93,93,0,1,3,55,2,17,0,0,0
M161,74,77,77,1,0,0,3,0,1,0,0,1
K227,111,118,114,7,0,0,82,0,10,67,2,2
K198,65,58,58,15,1,7,29,0,29,4,0,11
K020,87,75,76,46,0,5,39,0,26,33,0,21
M191,61,63,58,2,0,0,54,0,6,36,0,1
Q073,152,130,129,11,0,8,16,0,83,29,0,17
K090,57,56,56,3,0,0,44,0,5,2,0,0
Q972,35,11,11,23,0,4,32,0,5,0,0,0
Q021,128,89,88,7,13,12,59,21,30,0,0,0
M099,114,109,102,0,0,0,34,2,38,10,0,42
X106,128,102,98,32,21,1,39,19,14,18,0,4
X154,85,59,59,3,0,1,50,1,21,1,0,0
K223,113,123,120,4,0,1,31,0,43,57,0,10
Q445,200,199,197,3,0,8,7,0,16,2,0,104
K117,99,100,97,5,0,1,52,2,37,0,0,0
K001,97,73,73,3,2,1,55,2,15,0,0,0
K257,84,65,65,0,0,0,32,20,21,2,0,0
R840,75,24,24,74,0,0,72,0,3,0,0,0
M132,76,76,76,0,0,0,7,0,0,0,0,0
Q239,102,68,58,69,1,4,106,0,1,0,0,0
Q201,73,63,62,3,0,0,44,0,15,0,0,0
M066,63,56,46,44,0,3,33,0,14,0,0,0
K909,102,50,50,75,0,5,69,0,23,0,0,0
K486,80,79,79,39,2,8,1,0,50,6,0,3
Q499,106,49,47,79,0,7,28,0,12,0,0,0
K069,91,66,66,77,0,3,77,0,15,0,0,0
K293,147,125,125,6,0,4,87,4,35,4,0,3
Q068,89,82,79,37,0,1,57,2,12,0,0,0
K763,46,37,36,0,0,1,10,0,22,0,0,0
R470,33,33,31,0,0,0,1,0,0,0,0,0
M130,83,78,78,55,7,4,16,1,62,47,0,0
X105,106,102,97,25,6,56,36,6,43,12,13,44
X016,41,43,43,1,0,1,3,0,40,0,0,0
K211,112,105,104,0,4,5,16,7,31,0,0,0
K849,47,51,51,0,0,0,34,0,0,1,0,0
M017,72,69,68,3,0,3,2,0,3,54,0,1
K620,145,119,119,30,0,2,63,0,40,0,0,0
K054,79,81,81,7,0,0,7,0,57,2,0,0
K289,103,76,75,2,0,1,41,7,33,0,0,0
M116,76,66,66,2,0,0,59,0,3,0,0,0
K002,153,94,89,89,1,63,20,0,123,0,0,0
Q086,86,66,62,1,0,10,72,0,11,0,0,0
Q203,93,77,75,4,0,0,67,0,0,0,0,0
K086,47,42,39,0,0,0,1,0,1,0,0,0
K236,84,68,68,3,0,0,57,0,5,22,1,0
X162,157,129,129,14,0,4,108,0,37,0,0,0
M072,81,77,74,12,21,19,36,11,8,0,0,0
X040,92,77,76,3,0,0,42,10,22,2,0,0
R055,79,48,49,0,0,0,47,0,15,4,0,1
M445,192,189,185,19,0,6,51,0,42,1,0,0
M004,92,63,63,72,2,8,52,1,9,0,0,0
Q005,161,111,111,128,1,31,122,1,46,0,0,0
K178,86,85,85,1,0,59,3,1,52,0,0,0
M061,97,88,87,4,0,1,1,0,1,0,0,0
K291,194,95,95,120,1,18,82,17,122,0,0,0
R071,109,67,64,78,0,4,31,0,72,64,0,0
M480,177,172,169,22,2,88,4,6,10,0,0,1
M199,61,58,58,2,0,1,6,0,1,0,0,4
M129,84,72,72,3,0,0,51,11,4,0,0,0
K366,44,43,42,39,5,3,17,26,8,2,0,0
Q179,63,47,46,3,0,0,45,0,0,1,0,1
R039,59,50,48,6,0,0,42,1,6,20,0,2
M034,49,43,42,1,0,0,26,1,16,1,0,0
Q799,27,24,24,22,0,0,8,0,0,0,0,0
M263,92,52,42,60,0,3,51,0,29,1,0,0
Q105,96,76,76,28,0,3,67,0,12,0,0,0
Q174,62,54,54,36,0,0,45,0,0,0,0,0
X121,101,83,83,52,1,6,65,1,8,0,0,0
X425,279,263,235,27,3,18,28,4,166,76,0,0
K132,86,52,52,44,2,16,17,4,56,0,0,0
K272,64,66,65,2,0,0,2,1,1,46,1,8
Q290,77,66,55,82,3,1,94,3,12,39,0,1
X064,96,87,82,11,0,6,57,0,9,0,0,0
Q056,49,42,41,26,0,6,36,0,2,0,0,0
K435,184,155,140,12,0,23,22,0,121,0,0,0
Q133,69,68,68,1,0,0,62,0,5,19,0,7
K162,70,65,61,0,0,34,6,0,13,0,0,0
Q074,123,101,97,5,0,3,93,5,4,0,0,0
Q075,67,54,54,6,0,0,29,0,34,0,0,0
M510,89,88,87,3,0,0,3,0,13,0,0,2
K798,102,54,52,81,0,15,17,0,81,0,0,0
K852,35,26,26,13,0,0,16,0,6,0,0,0
K422,155,99,90,143,0,8,137,0,30,0,0,0
K274,77,63,63,0,0,0,0,52,0,0,0,0
M535,241,80,66,150,0,79,172,3,74,23,0,0
K021,115,81,81,5,0,2,59,1,34,5,0,0
K237,143,91,86,65,1,41,43,28,67,0,0,0
Q410,322,233,228,52,1,17,153,5,86,0,0,1
Q112,67,57,57,3,0,0,52,1,0,0,0,0
R008,66,60,59,4,0,0,21,0,29,9,0,0
Q143,82,71,68,2,2,51,46,1,22,14,0,6
Q150,103,105,105,35,0,0,69,6,1,23,0,11
X001,90,67,67,4,0,1,31,0,27,0,0,0
K185,60,61,61,3,0,38,39,0,5,0,0,0
K298,74,73,73,3,0,8,33,29,13,0,0,1
M340,95,66,64,79,0,6,77,0,17,0,0,0
Q232,83,67,67,5,1,0,31,12,20,0,0,0
X033,60,55,42,0,0,0,0,0,0,47,0,1
Q107,60,61,60,0,0,14,0,0,55,0,0,58
M064,113,105,96,8,0,0,84,0,0,0,0,0
Q885,69,22,14,48,0,18,32,0,32,0,0,0
K217,107,98,98,59,1,29,59,1,37,0,0,1
M089,99,54,54,44,0,1,37,0,18,37,8,0
K364,27,9,9,22,0,3,29,0,4,0,0,0
X082,112,101,98,0,0,0,15,0,3,0,0,66
Q154,105,88,87,5,0,0,57,6,2,17,0,0
X440,282,273,259,12,0,8,58,0,44,3,0,165
X084,131,100,100,70,0,2,80,0,34,0,0,0
M145,84,70,70,3,0,0,64,1,4,0,0,0
K420,238,246,246,18,0,60,36,0,60,10,0,65
K171,93,88,87,4,0,0,21,0,1,0,0,0
Q062,96,76,76,18,0,0,72,0,5,0,0,0
Q244,55,27,27,14,0,21,13,0,40,0,0,0
M083,80,67,67,3,0,0,66,0,0,0,0,0
X400,189,133,99,3,0,80,6,1,130,9,1,1
Q042,158,125,120,116,0,1,47,0,87,0,0,0
K232,103,115,115,0,0,0,8,0,0,98,0,0
K180,103,104,96,2,0,0,64,1,14,1,0,0
X093,71,63,64,3,0,0,7,1,32,0,0,19
Q190,104,93,93,6,0,0,48,1,19,1,0,0
K225,116,116,112,4,0,0,14,0,72,74,0,0
Q230,83,47,47,53,0,10,30,0,48,0,0,0
K138,118,112,108,0,0,1,3,0,21,0,0,0
Q113,97,65,59,44,1,2,59,25,5,16,1,1
M052,119,118,118,18,30,16,50,23,32,20,0,0
K834,28,28,25,0,0,0,1,0,1,0,0,0
K309,92,73,73,4,0,0,68,3,2,0,0,4
M115,94,89,84,0,0,92,33,1,38,0,0,0
M070,145,107,111,4,0,0,21,0,0,91,2,5
Q134,68,68,68,0,0,0,2,0,51,0,0,0
Q270,103,55,55,71,0,9,73,0,33,0,0,0
K292,162,132,132,15,0,0,124,4,9,0,0,0
X043,108,104,103,2,0,6,1,0,74,0,0,0
Q071,83,83,83,1,0,2,0,0,66,0,0,0
X058,69,67,67,0,0,0,3,1,43,0,0,0
Q095,94,96,94,11,0,19,26,1,23,17,3,13
X235,104,71,64,32,0,15,37,0,61,39,0,7
X152,84,61,59,9,0,7,39,0,30,15,0,0
Q050,110,79,77,45,1,31,61,2,44,0,0,0
X122,69,60,49,10,0,4,45,0,11,13,0,2
M874,52,30,28,36,0,6,8,0,30,2,0,0
X026,122,95,92,24,0,27,38,4,47,14,0,3
M079,95,68,68,10,0,0,60,7,6,0,0,0
R455,279,237,231,27,0,4,173,5,34,0,0,0
X600,131,128,126,15,1,12,37,1,53,11,0,42
K564,195,93,94,136,0,24,71,0,116,1,0,0
K255,78,63,63,1,0,1,48,0,1,0,0,0
K027,92,83,81,3,0,0,52,4,18,10,0,10
Q725,144,83,83,112,0,6,99,1,42,0,0,0
K271,107,117,117,16,0,3,125,0,2,0,0,0
K191,74,71,71,5,0,0,40,0,7,5,0,38
Q207,88,73,72,2,0,1,64,1,6,4,0,0
R034,120,112,106,4,0,0,74,2,2,31,0,4
K154,47,45,41,0,1,0,4,1,8,1,0,0
K222,86,86,86,4,0,0,49,0,7,42,0,10
X193,205,104,104,46,0,26,29,0,151,0,0,0
M123,101,82,82,3,0,1,82,4,0,0,0,0
Q451,20,15,14,0,0,3,6,0,0,0,0,0
X078,88,91,90,1,0,52,3,0,53,3,0,4
M121,81,72,72,4,0,0,39,0,13,0,0,0
K092,111,94,92,27,0,1,34,1,24,0,0,1
M042,77,72,67,0,0,0,5,0,0,0,0,0
K805,161,126,126,46,1,22,82,1,32,0,0,0
M475,155,128,126,4,0,5,73,1,19,0,0,0
K331,95,51,51,36,5,35,3,2,87,0,0,0
M040,91,90,90,11,1,0,42,9,7,0,0,0
R036,86,69,69,8,0,0,57,0,15,16,0,1
Q124,73,72,69,67,0,3,55,0,7,0,0,0
Q226,216,112,112,106,0,20,155,8,47,66,2,6
Q460,230,199,175,21,0,4,61,0,35,0,0,0
X060,87,84,84,50,0,3,29,0,42,69,0,0
K400,215,205,188,14,0,12,31,0,124,84,0,11
K781,29,27,27,0,0,0,9,0,4,0,0,0
X139,120,105,105,2,0,4,23,3,67,0,0,0
X153,134,53,53,108,0,9,120,0,13,0,0,0
R040,50,46,45,0,0,0,12,0,29,0,0,0
K159,68,65,64,4,0,1,7,0,4,1,0,0
K307,97,74,74,3,1,0,53,14,15,0,0,4
X144,145,115,115,12,0,4,74,0,52,0,1,0
Q405,199,189,188,19,0,5,85,2,37,11,0,81
X003,93,60,60,72,0,0,85,0,10,0,0,0
K874,35,35,34,0,0,0,0,0,2,0,0,0
Q141,112,110,109,5,0,0,81,0,0,7,0,24
K127,51,49,45,0,0,1,8,0,1,0,0,0
X111,103,79,77,1,0,0,41,3,48,0,0,0
M092,97,76,73,1,1,4,43,18,13,0,0,0
K281,118,112,111,8,1,1,98,2,3,0,0,0
R030,77,74,74,4,1,0,26,0,12,30,0,19
Q183,99,65,65,63,0,0,80,0,1,0,0,0
X420,143,130,125,8,2,100,10,0,34,0,0,0
M047,137,119,117,70,0,4,76,0,40,32,0,0
R075,214,98,98,72,0,3,184,2,14,1,0,0
X655,117,117,117,74,0,11,43,0,47,0,0,0
X075,118,120,119,1,0,80,14,0,76,4,0,1
K068,118,103,103,1,0,0,1,0,0,1,1,106
K011,83,67,67,3,0,0,51,5,10,0,0,0
R051,113,92,92,5,0,1,25,0,62,0,0,0
K116,49,49,49,1,0,0,1,0,0,0,0,0
K038,86,67,65,3,0,1,40,0,24,6,0,1
Q066,56,44,42,13,0,0,23,0,0,1,0,0
M841,69,62,62,48,0,6,16,0,55,0,0,2
K055,139,109,109,4,0,8,37,4,74,0,0,0
X083,86,87,87,1,0,0,3,0,55,46,0,1
X283,40,31,0,9,0,28,4,0,13,27,0,0
K314,160,74,74,100,0,1,30,0,112,13,0,0
R018,80,69,69,9,0,0,66,0,0,1,0,1
K265,88,90,90,7,0,0,26,7,47,0,0,0
R046,53,49,47,3,0,0,30,0,3,10,0,0
K219,103,106,106,4,2,0,63,0,14,63,0,3
K397,48,38,25,39,0,0,63,0,0,0,0,0
X129,91,71,71,4,0,2,34,10,29,0,0,0
K115,107,97,95,25,0,8,70,2,5,18,0,3
X878,52,32,31,29,11,6,11,1,28,0,0,0
K121,37,41,40,1,0,0,17,0,6,23,0,1
Q223,123,79,79,15,0,0,81,0,36,0,0,0
Q262,74,39,41,40,0,1,25,0,10,0,0,0
Q121,88,88,82,1,0,0,36,0,26,38,2,4
K254,82,67,67,21,2,5,29,14,20,19,0,3
R048,46,38,35,0,0,0,1,0,20,7,0,4
Q206,64,57,57,36,0,10,37,0,21,0,0,0
Q131,55,52,51,2,0,7,14,4,18,0,0,18
R003,77,50,50,8,2,0,46,0,27,0,0,0
R059,60,49,44,6,2,0,9,2,6,0,0,0
M490,276,0,0,185,0,76,32,0,225,0,0,0
Q202,128,99,98,6,0,2,101,0,5,0,0,0
K814,63,38,33,49,0,5,27,0,50,0,0,0
X229,178,66,44,162,0,0,38,0,0,0,0,0
Q119,100,101,101,24,0,11,59,0,15,0,0,36
X138,60,55,55,2,0,0,45,0,3,0,0,0
M206,87,71,71,1,0,0,69,0,4,0,0,0
K017,59,63,63,0,0,60,0,0,62,0,0,0
K247,71,70,65,4,0,0,39,0,1,35,0,2
X024,91,86,86,10,0,6,31,0,40,3,0,3
X052,125,114,108,4,0,0,52,1,26,0,0,0
Q185,100,93,93,4,0,1,64,0,13,0,0,0
M824,48,35,34,56,1,0,9,3,23,32,0,0
K066,107,63,63,75,0,9,64,0,39,1,0,1
M090,156,105,81,137,3,12,113,0,29,0,0,0
R006,104,60,56,90,0,0,85,2,10,0,0,0
Q093,137,110,109,61,1,34,64,1,42,0,0,0
X015,127,102,102,113,0,0,141,0,0,0,0,0
K252,88,94,86,9,1,2,27,0,15,37,0,11
M002,97,83,83,2,0,1,74,0,4,0,0,0
K845,93,79,75,0,0,1,23,0,28,0,0,1
X211,44,40,38,17,0,0,16,0,5,31,0,0
M465,198,184,184,63,0,71,55,2,36,0,0,0
X886,35,21,20,25,0,6,25,0,10,1,0,0
